TweetID,User_ID,Text,Sentiment
647398661475946496,Rionagh,I've had an IPhone for like 3 years and I've never done that  :( hate ma life,negative
647398688755687424,your highness,I dont need the new iphone but I want it :(,negative
647399113282097152,Little Liggins ,fuck the iPhone 6s cus I'm not getting one :(,negative
647399869154521088,,"Hopefully will be able to get my iPhone 6s today :(

Plane gets in at like 11:30 :/",negative
647399977224916992,Kenny Tosh,@clydesdalebank I've just bought a new iPhone and I can't use Apple Pay because you don't support it. When will I get to use it? :(,negative
647402701957959682,mikee morando,The new iphone is out today but mine doesn't come til next week :( &lt;/3,negative
647402903418892288,Andrew Vergara,Also have to work an iPhone launch at t-mobile :(,negative
647403421499301888,Chris Stroud,@O2 I ended up ringin in my break.. i ordered iphone 6s which in now coming to me on Monday and not today :( bit gutted but fingers crossed,negative
647403550788579328,Payal,@reviewero iPhone 5 was the best iPhone ever. And this makes me feel so nostalgic. :(,negative
647404412168720384,Jack Smith,@mitsuhiko scared to update to iOS9 as i don't know what that means for my iTunes match subscription :(,negative
647405788949008384,Callum Kemp,There is a high chance that I will not have my iPhone when I get home :( I think I missed the delivery...,negative
647407054353776640,Joe Wathen,@JohnLegere . Why is the inventory of iPhone 6sPlus 128GB Rose Gold already out of stock. I was at a corporate store by 8 am. :(,negative
647407611797708800,Hannah,need my iphone back lol i can't fade this phone :(,negative
647408062718849024,john,"Everyone talking about iPhone day, Im studying for an exam :(",negative
647408309134225409,Sean Warton,"@3minutegames Upgraded to iPhone 6s today, restored from backup... lost all progress in the Lifeline games :(",negative
647408467746123776,R.A.W.,@sprintnews so mad i didn't know direct 2 u was an option for iphone pre ordering!!!! :( next time!! im in Bmore :) BEST service ever.,negative
647408968009142272,Rob Allpress,@EE this is my wife's phone. I'm stuck with no o2 service until next years iPhone :(,negative
647409077295927296,Cat,Grrrrrrr Got the new iPhone but it won't connect to my work (and only) wifi :(,negative
647410239290130433,elise,Wish I'd just waited a few months and got the iPhone 6s instead of the 6 :( :( :(,negative
647410792388804608,Newton,"@PolarGlobal Polar Beat still doesn't work with Polar H6 on iOS9, please help me to fix it! Disappointed :(",negative
647411941162418176,Tashhh  ,"I want Iphone 6s :(
https://t.co/lv6Ml03If6",negative
647412435654209536,Jennifer Topham,@katoi It wasn't even for an iPhone! :( and I never got my order as he simply took a picture of my office building and left!,negative
647414623667421185,Alina Mueller,@flinto  I have problems with scrolling through the flinto prototype on my iPhone 6 :( anyone has same problems? #flinto How to fix it?,negative
647415747983970304, ,Woke up really early to get in line for the iphone 6s and theres only one person here :(,negative
647416136041168896,Phil Long,Annoyed Apple haven't let me set a parcel drop-off place for iPhone release so delivery failed. Daft they don't allow it for pre-orders. :(,negative
647417081210777600,urnco,"@tim_cook can you PLEASE consider more options for (black) iPhone 7?! There's like 3 white iPhones, and only 1 black iPhone right now. :(",negative
647417286551302144,E,Sick today :( However I get the new iPhone 6s!!!,negative
647417332856418304,james,c trop cool sur iPhone idk :(,negative
647417402532208640,FLOTUS,My iPhone is sticky :(,negative
647418002368016384,Morvan Mitchell,"Apple just makes me feel the happiest boy in the world, even having only an iPhone 4 :( #loveyouapple #fanboy @tim_cook",negative
647418937370648576,Danielle Robinson,Just about to make a deal for my iPhone and fucking fire alarm goes off and have to evacuate :(,negative
647419128580579328,rachael loves daniel,@NikiAlbon what are the emojis I don't have ios9  :(,negative
647419388920893440,Caden Miller,No iPhone 6s Plus at the Verizon I went to :( #bummer #myluck #preorder #illwait,negative
647419530973696000,Spicy Noodles,@MyPapoose Oh my iPhone says its not coming until Tuesday :( Ive got other stuff coming too thats promised for today.,negative
647419753506717696,C R W N,Takin out loans for the iPhone :(,negative
647420211356798977,prnc,"@d_trw @NatalyaLim yds , I want get iphone6s plus rose gold de :(",negative
647420308316626944,Brad,When you're sitting there waiting for the UPS truck for your new iphone :) :(,negative
647423254714429440,MJAY :),Iphone 5s? :(,negative
647423333034762240,4RTB ,@IHarr_Empires I WANNA iPHONE TOO! I HAVE NO PHONE :(,negative
647424033093480448,Tom Edwards,"@emohrberg @DRoessl maybe some of us like our iPhone Fives, damn it. :( (not to be confused with 5s)",negative
647425018822049793,Jay Waterloo,@MsCharlotteX :( Today is the iPhone 6S release date. Maybe Apple is causing phones to self destruct to force more upgrades.,negative
647425372900954113,nicole,I have to wait to get an iPhone 6s :(,negative
647425600857112576,Nazurah,@EyaAmira ndak boleh juga ba :( maybe it only works on iPhone????,negative
647425766490263553,Alison Hudson,The #iphone6s is too big for me to use one-handed. And I have big hands. :(,negative
647427254650294272,Patrick Andriessen,@virtuatennis + ios9 + ipad2 not a good combo. Game crashes a lot :(,negative
647427636709363712,Apple News,Just got DENIED for Iphone Upgrade Program :( http://t.co/52vYEa3JL1,negative
647427643462127616,bby cur,abt to go wait in line for the new iphone and if they sell out I'm gonna be so pissed :(,negative
647429818548486144,Phillip Vasquez ,Working on an iPhone release day means i won't have much to sell today :(,negative
647430260225646592,becky,@officialUKMail was told my iphone would be here today :( not cool,negative
647432351895556097,Anna,@sierraybarra_09 an iPhone 6 :(,negative
647432778779267072,JDBaruh,"@MioGlobal GUYS- fix your iOS9 app please :( there are many, many unhappy people out there including me- not worth buying Mio until they fix",negative
647433792630718464,Steven Johnson,"Beat Buy only had the iPhone 6S, no 6S Plus. :(",negative
647433898784391168,caoimhe ,Someone with an iPhone help me please :( :( :(,negative
647434582250254336,   ,iPhone and Any Android phones please :( :),negative
647436813947133952,,so i no longer have jailbreak yarab ynzl mal ios9.1 sre3 :(,negative
647436873892282368,Prasoon Singh,UPS says my iPhone has been delivered but I still didnt get it :(,negative
647437485237215232,Caspar Aremi ,@splitwise Splitwise app keeps crashing as soon as it opens :( iOS 9.1 on iPhone 6+,negative
647438482336452608,Kitty Mae,I miss my iPhone. :(,negative
647439554887184384,Ryan DeVoll,@JohnLegere is @TMobile ever going to update their iPhone app?! I just joined and its horrible :(,negative
647440570193842177,Irish,I will miss my iphone :(,negative
647440673575047168,Maribel Mata,Best Buy still hasn't received the iPhone 6s in rose gold :(,negative
647441380227346432,ardis,The notifications drop down thing on ios9 is annoying. I preferred having everything ordered by app :(,negative
647441428381982728,Aleeza Mae,I'm very sad I didn't wait for the new iPhone :( but it's okay... Next month for sure I'll get it.,negative
647441488587161600,Magnus Branzén,@ErlingE Can you also release on a website? On Twitter for iPhone and FB imagens can only be seen when logged in :(,negative
647442136250609664,ThreeUKSupport,"@opticalvisual Hi Andy, sorry to hear you're having compatibility issues with Three inTouch on your iPhone 6 :( That's annoying. Can you...",negative
647444058437238784,Charlotte Ball,I want the rose gold  iPhone :(,negative
647444322921656320,Charlotte Ball,I want the rose gold iPhone 6s :(,negative
647445067309969408,Kayleigh,Had to send my iPhone off for repair :( dont know how ill cope a week without it!!!,negative
647447766017245184,:(:,I want the new iPhone :(,negative
647447873567723520,Pierre LF,"@macmixing got mine last monday, decided to let them pass, but now my iPhone 5S keeps crashing and I regret the invite I cri :(",negative
647448089586987008,Niki Payne,"Dear @iTunesPodcasts, Ever since the recent iOS9 update, the app keeps shutting down on me. Now I have to switch to @Stitcher :(",negative
647448623072940032,throughnothing,Line for my reserved iPhone :( http://t.co/ICVtyhWKsv,negative
647449424076140544,iPhone 6 Giveaway!!,Hi :(: : basiccynthia Do u wanna get a BRAND NEW iPhone 6 for FREE? Please check my Bi0 :D Thx https://t.co/6mcTi7Pp1z,negative
647451581663698945,Kenneth Guak ,I want an iPhone6s+ too :(,negative
647452025857437696,Flame Princess,@deniselorrainee I want some too but I'm going to get my iPhone later &amp; run errands &amp; finish homework so I can't :(,negative
647452483120431108,#GoBold Dan,@tsholo_phooko whats your email again cant whatsapp songs because iPhone :(,negative
647452912747200512,J O S E  G U Z M A N,Gay I can't get the new iPhone till January :(,negative
647453553821413376,Van,@Realist_Jayy black iPhone 5 :(,negative
